epoch,accuracy,loss,val_accuracy,val_loss
0,0.7260000109672546,0.8260886669158936,0.7975000143051147,0.4713992178440094
1,0.8320000171661377,0.41222262382507324,0.8887500166893005,0.28355225920677185
2,0.8840000033378601,0.3027304708957672,0.824999988079071,0.4384576678276062
3,0.8880000114440918,0.2712132930755615,0.8637499809265137,0.3760758638381958
4,0.9150000214576721,0.21380572021007538,0.8787500262260437,0.31862500309944153
5,0.9290000200271606,0.18572674691677094,0.8187500238418579,0.5759822130203247
6,0.9359999895095825,0.17070871591567993,0.8837500214576721,0.36896663904190063
7,0.9559999704360962,0.11778555810451508,0.9087499976158142,0.3486214876174927
8,0.9480000138282776,0.14777827262878418,0.9162499904632568,0.3017752766609192
9,0.9570000171661377,0.13074757158756256,0.90625,0.34719613194465637
